idx,gold_label,Sentence1,Sentence2,Explanation_1,Translated_Sentence1,Translation_Evaluation_Sentence1,Translated_Sentence2,Translation_Evaluation_Sentence2,Translated_Explanation_1,Translation_Evaluation_Explanation_1,Well-Written,Related,Factual,New Information,Unnecessary Information,Back_Sentence1,Back_Sentence2
169782,entailment,A balding man sits on the sidewalk leaned against a bunch of woven blankets.,The man sat on the sidewalk.,A man could be balding.,Ein kahlschopfiger Mann sitzt auf dem Gehweg und lehnt sich gegen einen Stapel gewebter Decken.,,Der Mann saß auf dem Gehweg.,,,,,,,,,A bald man sits on the sidewalk and leans against a stack of woven blankets.,The man was sitting on the sidewalk.
64351,entailment,A vietnamese man driving a tractor through a dirt ravine while a woman rides on the back.,the man is driving a tractor.,A Vietnamese man is a man.,"Ein vietnamesischer Mann fährt einen Traktor durch eine staubige Schlucht, während eine Frau auf dem Rücken mitfährt.",,Der Mann fährt einen Traktor.,,,,,,,,,A Vietnamese man drives a tractor through a dusty gorge while a woman rides along on the back.,The man is driving a tractor.
62767,entailment,Drummers march down the street past onlookers.,Drummers are outside.,If people march down the street then they are outside.,Schlagzeuger marschieren die Straße entlang vorbei an Zuschauern.,,Die Schlagzeuger sind draußen.,,,,,,,,,Drummers march along the street past spectators.,The drummers are outside.
9017,contradiction,An old lady in a big black coat holds the hand of a young boy in a blue jacket in the subway.,A old lady looks through her cabinets for her favorite mug.,An old lady cannot look through her cabinets while being on the subway simultaneously.,Eine alte Dame in einem großen schwarzen Mantel hält die Hand eines jungen Jungen in einer blauen Jacke in der U-Bahn.,,Eine alte Dame sucht in ihren Schränken nach ihrer Lieblingstasse.,,,,,,,,,An old lady in a large black coat is holding the hand of a young boy in a blue jacket on the subway.,An old lady is searching her cabinets for her favorite cup.
242534,contradiction,A man wearing a blue shirt and matching helmet is jumping his bike over a hill.,A man in a green shirt rides his motorcycle.,He can't have two shirts on that is a blue shirt and a green shirt and  happen to match the helmet unless it's talking about a different man.,Ein Mann mit einem blauen Hemd und passendem Helm springt mit seinem Fahrrad über einen Hügel.,,Ein Mann im grünen Hemd fährt sein Motorrad.,,,,,,,,,A man with a blue shirt and matching helmet jumps over a hill with his bicycle.,A man in a green shirt is riding his motorcycle.
76154,neutral,Truck driver driving a eighteen wheeler truck.,The driver is a man,"The driver need not necessarily be a man, it may be a female driver too.",LKW-Fahrer fährt einen Achtzehnräder-LKW.,,Der Fahrer ist ein Mann.,,,,,,,,,Truck driver drives an eighteen-wheeler truck.,The driver is a man.
216060,entailment,The child has his mouth open and is surrounded by adults dancing.,The child is in awe of the grown ups dancing.,the boy has his mouth open because he wants to dance like the adults.,Das Kind hat den Mund offen und wird von tanzenden Erwachsenen umgeben.,,Das Kind ist von den tanzenden Erwachsenen beeindruckt.,,,,,,,,,The child has its mouth open and is surrounded by dancing adults.,The child is impressed by the dancing adults.
220896,contradiction,An old Asian man is playing a Asian Tradition Guitar.,The youth is a very good musician.,Old means older and youth means younger.,Ein alter asiatischer Mann spielt eine asiatische traditionelle Gitarre.,,Der Jugendliche ist ein sehr guter Musiker.,,,,,,,,,An old Asian man is playing an Asian traditional guitar.,The teenager is a very good musician.
245693,contradiction,We see a shot of a Korean historical drama with a man in bright red and yellow costume is in the foreground.,The man is naked.,One cannot be naked and costumed at the same time,"Wir sehen eine Szene aus einer koreanischen historischen Dramaserie, bei der ein Mann in einem hellen roten und gelben Kostüm im Vordergrund ist.",,Der Mann ist nackt.,,,,,,,,,We see a scene from a Korean historical drama series where a man in a bright red and yellow costume is in the foreground.,The man is naked.
205014,contradiction,People are checking out at target.,Women run outside.,One cannot run and check out simultaneously.,Menschen bezahlen bei Target ab.,,Frauen laufen draußen.,,,,,,,,,People pay at Target.,Women are running outside.
180264,neutral,A motorcyclist speeds down the road.,The motorcyclist is kicking up dirt on the dirt road.,Speeding down the road doesn't imply the road is a dirt road.,Ein Motorradfahrer rast die Straße hinunter.,,Der Motorradfahrer wirbelt Staub auf der Schotterstraße auf.,,,,,,,,,A motorcyclist speeds down the street.,The motorcyclist kicks up dust on the gravel road.
36991,entailment,A man with a beard& glasses is sleeping on public transportation while wearing a funny cap.,A man is sleeping in public.,Both sentences have a man sleeping in public but the first sentence is more specific.,"Ein Mann mit Bart und Brille schläft im öffentlichen Verkehr, während er eine lustige Mütze trägt.",,Ein Mann schläft im Freien.,,,,,,,,,A man with a beard and glasses is sleeping on public transport while wearing a funny hat.,A man sleeps outdoors.
22619,entailment,A baseball player swings at an oncoming ball while the catcher gets ready and the umpire looks on.,A baseball player is playing baseball.,A baseball player and a catcher are positions needed in playing baseball.,"Ein Baseballspieler schwingt nach einem herannahenden Ball, während der Catcher sich bereitmacht und der Schiedsrichter zuschaut.",,Ein Baseballspieler spielt Baseball.,,,,,,,,,A baseball player swings at an approaching ball while the catcher prepares and the umpire watches.,A baseball player plays baseball.
64212,contradiction,A person in jeans and a blue sweatshirt aims a camera while standing near a crowd of people.,a boy plays with a toy camera,"The person isn't necessarily a boy and if he is aiming the camera near a crowd, it is unlikely that it is a toy camera.","Eine Person in Jeans und einem blauen Sweatshirt richtet eine Kamera aus, während sie sich in der Nähe einer Menschenmenge aufhält.",,ein Junge spielt mit einer Spielzeugkamera,,,,,,,,,A person wearing jeans and a blue sweatshirt is adjusting a camera while staying near a crowd of people.,a boy plays with a toy camera
79262,entailment,"Eleven people gather in lake, group on left are male and conversing, group on right, male and female, walking further out into lake.",People are by the water.,The people are walking further into the lake so they must be by the water.,"Elf Menschen versammeln sich am See, die Gruppe links besteht aus Männern und unterhält sich, die Gruppe rechts besteht aus Männern und Frauen und geht weiter hinaus auf den See.",,Menschen sind am Wasser.,,,,,,,,,"Eleven people gather by the lake; the group on the left consists of men and is conversing, while the group on the right consists of men and women and proceeds further out onto the lake.",People are by the water.
171697,entailment,A group of men finish a fund raising run for Haiti in 28:24.,A group of men finish a marathon.,The fund raising run is a marathon.,Eine Gruppe von Männern beendet einen Spendenlauf für Haiti in 28:24.,,Eine Gruppe von Männern beendet einen Marathon.,,,,,,,,,A group of men finishes a charity run for Haiti in 28:24.,A group of men finishes a marathon.
2888,entailment,Three guys sitting on a sandy beach near the water and one is talking to the two little girls.,The guys sat on the beach near the water.,Three guys sitting is rephrased as 'the guys sat',Drei Männer sitzen am sandigen Strand nahe dem Wasser und einer spricht mit den beiden kleinen Mädchen.,,Die Jungs saßen am Strand nahe dem Wasser.,,,,,,,,,Three men are sitting on the sandy beach near the water and one of them is talking to the two little girls.,The guys were sitting on the beach near the water.
195181,neutral,A man is panting a piece of wood.,A man is painting a nature scene on a piece of wood.,"A man can paint anything on a piece of wood, it does not have to be a nature scene.",Ein Mann keucht ein Stück Holz an.,,Ein Mann malt eine Naturkulisse auf ein Stück Holz.,,,,,,,,,A man pants at a piece of wood.,A man paints a natural backdrop onto a piece of wood.
66517,entailment,Two young barefooted girls are climbing an old lava flow with their father and mother following close behind.,A family is climbing in the outdoors.,OLD LAVA FLOW S ARE OUTDOORS.,"Zwei junge barfüßige Mädchen klettern einen alten Lavastrom hinauf, während ihr Vater und ihre Mutter dicht hinter ihnen folgen.",,Eine Familie klettert im Freien.,,,,,,,,,Two young barefoot girls climb an old lava flow while their father and mother closely follow behind them.,A family climbs outdoors.
213565,contradiction,Several people are gathered on the steps in front of a brick building.,People on steps in front of a park.,brick building is not a park.,Mehrere Menschen sind auf den Stufen vor einem Backsteingebäude versammelt.,,Menschen auf Stufen vor einem Park.,,,,,,,,,Several people are gathered on the steps in front of a brick building.,People on steps in front of a park.
149052,contradiction,Two girls are carrying a shoe each in their hands while walking down the road wearing a sports costume.,The boy is at school working on homework alone,"a girl is referred to in the 1st sentence, not a boy","Zwei Mädchen tragen jeweils einen Schuh in der Hand, während sie auf der Straße in Sportkleidung gehen.",,Der Junge ist allein in der Schule und arbeitet an seinen Hausaufgaben.,,,,,,,,,Two girls are each carrying a shoe in their hand while walking on the street in sports clothing.,The boy is alone at school and working on his homework.
32674,entailment,A warmly dressed man stands with a carving station on the street in front of his rotisserie machine.,A man dressed for the winter is by a rotisserie machine,"If the man stands in front of his rotisserie machine, he is by a rotisserie machine.",Ein warm angezogener Mann steht mit einer Schneidestation auf der Straße vor seiner Spießbratemaschine.,,Ein Mann in Winterkleidung steht neben einer Spießbratemaschine.,,,,,,,,,A warmly dressed man stands on the street with a cutting station in front of his spit roaster.,A man in winter clothing stands next to a spit roaster.
105644,contradiction,A man is sitting outside a cafe on a stepladder,A man is climbing up a telephone pole.,Climbing and sitting are different.,Ein Mann sitzt auf einer Trittleiter vor einem Café.,,Ein Mann klettert einen Telefonmast hoch.,,,,,,,,,A man is sitting on a step ladder in front of a café.,A man climbs up a telephone pole.
198877,contradiction,Person dressed in black with a blue hat next to several cats outside.,A person standing next to some dogs outside.,The person is standing next to cats in one sentence and dogs in the other sentence.,Person in Schwarz gekleidet mit einer blauen Mütze neben mehreren Katzen draußen.,,Eine Person steht neben einigen Hunden draußen.,,,,,,,,,Person dressed in black with a blue hat next to several cats outside.,A person is standing next to some dogs outside.
133390,entailment,A fireman begins to cross the street towards the fire.,There is a fire.,A fireman responds to a fire as his duty.,"Ein Feuerwehrmann beginnt, die Straße in Richtung des Feuers zu überqueren.",,Es gibt einen Brand.,,,,,,,,,A firefighter begins to cross the street towards the fire.,There is a fire.
90488,entailment,A lot of people gathered in a park.,A large group of people are present.,A lot of people is a large group. Gathering at a location makes them present.,Viele Menschen versammelten sich in einem Park.,,Eine große Gruppe von Menschen ist anwesend.,,,,,,,,,Many people gathered in a park.,A large group of people is present.
124491,entailment,A young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat.,A woman playfull kicks a man.,A woman is kicking a man.,"Eine junge Frau im Bikini hält eine Flasche und veranstaltet einen Unsinn, indem sie einen Mann mit Strohhut tritt.",,Eine Frau spielerisch einen Mann treten.,,,,,,,,,A young woman in a bikini is holding a bottle and causing a commotion by kicking a man wearing a straw hat.,A woman playfully kicking a man.
95016,neutral,A couple in black coats is looking at the camera with pleasant expressions on their faces.,There is a couple in black coats looking at the camera so they can have their 15 minutes of fame.,A couple in black coats is looking at the camera with pleasant expressions on their faces does not mean couple in black coats looking at the camera so they can have their 15 minutes of fame,Ein Paar in schwarzen Mänteln schaut mit angenehmen Gesichtsausdrücken in die Kamera.,,"Es gibt ein Paar in schwarzen Mänteln, das in die Kamera schaut, um ihre 15 Minuten des Ruhms zu genießen.",,,,,,,,,A couple in black coats looks at the camera with pleasant facial expressions.,There is a couple in black coats looking into the camera to enjoy their 15 minutes of fame.
37050,entailment,A smiling middle-aged man wearing over-sized red sunglasses and a colorful patterned shirt sits in the grass in front of a blue-green backdrop.,A human smiling,a man is a human.,Ein lächelnder mittleren Alters Mann mit überdimensionierten roten Sonnenbrillen und einem farbenfrohen gemusterten Hemd sitzt auf dem Gras vor einem blaugrünen Hintergrund.,,Ein Mensch lächelt,,,,,,,,,A smiling middle-aged man with oversized red sunglasses and a colorful patterned shirt is sitting on the grass in front of a blue-green background.,A person is smiling.
10493,neutral,Some people are swimming in water; one has goggles on.,The water is cold.,Not all water that is swam in is cold.,Einige Menschen schwimmen im Wasser; einer trägt eine Schwimmbrille.,,Das Wasser ist kalt.,,,,,,,,,Some people are swimming in the water; one is wearing swimming goggles.,The water is cold.
68425,entailment,"A gentleman is hanging from a window, cleaning the outside of the window, while a gentleman on the inside watches.",A human hanging,A Human refers gentleman is hanging from a window,"Ein Herr hängt am Fenster und putzt die Außenseite, während ein Herr im Inneren zuschaut.",,Ein hängender Mensch,,,,,,,,,A man hangs out the window and cleans the outside while another man inside watches.,A hanging person
99533,entailment,A man in a colorful t-shirt is standing at an outside food stall.,A man stands by a food stall.,A man standing at an outside food stall implies the man stands by a food stall as part of the original description of the man in a colorful t-shirt.,Ein Mann in einem bunten T-Shirt steht an einem Imbissstand draußen.,,Ein Mann steht an einem Imbissstand.,,,,,,,,,A man in a colorful T-shirt is standing at a food stand outside.,A man is standing at a snack stand.
27355,contradiction,Two women are sitting at a makeshift table.,Two men on a bed.,Two women at a table are not at all the same as two men on a bed.,Zwei Frauen sitzen an einem provisorischen Tisch.,,Zwei Männer auf einem Bett.,,,,,,,,,Two women are sitting at a makeshift table.,Two men on a bed.
12562,contradiction,A girl dancing with four boys watching.,A girl is dancing with one of the four,There can be either a girl dancing with four boys watching or a girl is dancing with one of the four boys.,"Ein Mädchen tanzt, während vier Jungen zuschauen.",,Ein Mädchen tanzt mit einem der vier.,,,,,,,,,A girl is dancing while four boys watch.,A girl is dancing with one of the four.
8479,entailment,A man and two small children laying on a tiled floor.,a guy and two kids play inside,A man is also a guy.  Children are also called kids.  A tile floor would be located inside.,Ein Mann und zwei kleine Kinder liegen auf einem gefliesten Boden.,,ein Mann und zwei Kinder spielen drinnen,,,,,,,,,A man and two small children are lying on a tiled floor.,a man and two children are playing inside
177542,neutral,a number of people standing on the sidewalk along side the front doors of a transit bus,people are waiting for a bus.,"They may not be waiting for the bus, they may be exiting the bus",eine Anzahl von Menschen steht auf dem Gehweg neben den Vordertüren eines Stadtbusse,,Menschen warten auf einen Bus.,,,,,,,,,A number of people are standing on the sidewalk next to the front doors of a city bus.,People are waiting for a bus.
39006,neutral,A small child bangs a metal pan with a red and tan wooden hammer.,The child is wearing a blue shirt and brown pants.,A small child banging a metal pan is not necessarily  wearing a blue shirt and brown pants.,Ein kleines Kind schlägt mit einem roten und braunen Holzhammer auf eine Metallschüssel.,,Das Kind trägt ein blaues Hemd und braune Hosen.,,,,,,,,,A small child is hitting a metal bowl with a red and brown wooden hammer.,The child is wearing a blue shirt and brown pants.
63622,entailment,Snow is being kicked up by the board.,There is snow on the ground.,Snow cannot be kicked up unless it is on the ground.,Schnee wird von der Board aufgewirbelt.,,Es liegt Schnee auf dem Boden.,,,,,,,,,Snow is kicked up by the board.,There is snow on the ground.
4018,neutral,A baseball pitcher in a circle with a symbol to his right.,He is good at sports.,A person playing doesn't mean they are good at sports.,Ein Baseballwerfer in einem Kreis mit einem Symbol zu seiner Rechten.,,Er ist gut in Sport.,,,,,,,,,A baseball pitcher in a circle with a symbol to his right.,He is good at sports.
29918,neutral,Two people in lawn chairs reading books.,A man and a woman are in lawn chairs reading books,The two people don't necessarily need to be one of each gender. It could be two men or two woman instead.,Zwei Menschen in Liegestühlen lesen Bücher.,,Ein Mann und eine Frau sitzen in Liegestühlen und lesen Bücher.,,,,,,,,,Two people in lounge chairs are reading books.,A man and a woman are sitting in lounge chairs and reading books.
41651,contradiction,"Two male clowns, one in a plaid suit and the other in black, performing a musical number in a theater setting.",The clowns are in the dressing room.,The clowns cannot be in the theater setting and dressing room at the same time.,"Zwei männliche Clowns, einer in einem karierten Anzug und der andere in Schwarz, führen eine musikalische Nummer in einer Theaterkulisse auf.",,Die Clowns sind im Garderobenraum.,,,,,,,,,"Two male clowns, one in a checkered suit and the other in black, perform a musical number on a theater stage.",The clowns are in the dressing room.
84540,entailment,Father and daughter sitting down on bench and talking peacefully at a beautiful park.,People sitting and talking.,the people are father and daughter,Vater und Tochter sitzen auf einer Bank und unterhalten sich friedlich in einem schönen Park.,,Menschen sitzen und reden.,,,,,,,,,Father and daughter are sitting on a bench and talking peacefully in a beautiful park.,People are sitting and talking.
